# bench-baseline-powers.txt
# generated_by=bench-capture-baseline.sh
# exp_min=4 exp_max=42
# columns: exp orig_wall orig_sum bit_wall bit_sum blk_wall blk_sum opt_wall opt_sum
exp	orig_wall	orig_sum	bit_wall	bit_sum	blk_wall	blk_sum	opt_wall	opt_sum
4	0.001242	41	0.001360	41	0.001875	41	0.005906	41
5	0.001521	160	0.001455	160	0.001685	160	0.005734	160
6	0.001267	501	0.001661	501	0.001640	501	0.005911	501
7	0.001240	1720	0.001628	1720	0.001567	1720	0.005487	1720
8	0.001392	6081	0.001359	6081	0.001505	6081	0.005221	6081
9	0.001313	22548	0.001315	22548	0.001413	22548	0.005909	22548
10	0.001386	80189	0.001851	80189	0.001552	80189	0.005606	80189
11	0.001210	289176	0.001465	289176	0.001521	289176	0.005317	289176
12	0.001338	1070091	0.001421	1070091	0.001381	1070091	0.005860	1070091
13	0.001696	3908641	0.001555	3908641	0.001562	3908641	0.005760	3908641
14	0.001570	14584641	0.001586	14584641	0.001539	14584641	0.005636	14584641
15	0.001417	54056763	0.001301	54056763	0.001410	54056763	0.005645	54056763
16	0.001505	202288087	0.001422	202288087	0.001625	202288087	0.005802	202288087
17	0.001569	761593692	0.001704	761593692	0.001457	761593692	0.005805	761593692
18	0.001513	2867816043	0.001716	2867816043	0.001600	2867816043	0.005527	2867816043
19	0.002108	10862883985	0.002173	10862883985	0.001736	10862883985	0.005348	10862883985
20	0.002866	41162256126	0.003324	41162256126	0.001585	41162256126	0.005387	41162256126
21	0.004897	156592635694	0.005181	156592635694	0.002121	156592635694	0.006161	156592635694
22	0.011821	596946687124	0.008773	596946687124	0.002833	596946687124	0.006265	596946687124
23	0.020946	2280311678414	0.014123	2280311678414	0.002907	2280311678414	0.006871	2280311678414
24	0.023091	8729068693022	0.009990	8729068693022	0.004403	8729068693022	0.007188	8729068693022
25	0.024589	33483086021512	0.015990	33483086021512	0.007415	33483086021512	0.009191	33483086021512
26	0.031535	128615914639624	0.017375	128615914639624	0.013677	128615914639624	0.013196	128615914639624
27	0.059405	494848669845962	0.029365	494848669845962	0.015429	494848669845962	0.015611	494848669845962
28	0.134360	1906816620981654	0.053886	1906816620981654	0.048695	1906816620981654	0.026721	1906816620981654
29	0.258047	7357074544482779	0.101574	7357074544482779	0.057515	7357074544482779	0.037673	7357074544482779
30	0.500037	28422918403819825	0.201287	28422918403819825	0.116016	28422918403819825	0.070132	28422918403819825
31	0.993122	109930816131860852	0.387254	109930816131860852	0.239817	109930816131860852	0.140886	109930816131860852
32	1.934339	425649736193687430	0.793717	425649736193687430	0.477534	425649736193687430	0.297416	425649736193687430
33	3.886430	1649816561794735645	1.596943	1649816561794735645	0.986969	1649816561794735645	0.601741	1649816561794735645
34	8.349567	6400753258957522036	3.053573	6400753258957522036	1.910774	6400753258957522036	1.203038	6400753258957522036
35	15.857553	24855294925815608078	6.155107	24855294925815608078	3.873992	24855294925815608078	2.362122	24855294925815608078
36	31.750557	96600702280399897498	12.471480	96600702280399897498	7.893234	96600702280399897498	4.852588	96600702280399897498
37	60.317115	375743480734175191581	24.973217	375743480734175191581	15.671200	375743480734175191581	9.971232	375743480734175191581
38	124.668729	1462624552782331976787	50.401938	1462624552782331976787	31.810424	1462624552782331976787	19.909740	1462624552782331976787
39	256.397224	5697546897249031583755	104.251582	5697546897249031583755	68.073016	5697546897249031583755	41.992562	5697546897249031583755
40	517.931740	22209544734075241069431	210.898267	22209544734075241069431	134.502003	22209544734075241069431	84.834024	22209544734075241069431
41	1000.136129	86631055249811934625213	434.273223	86631055249811934625213	274.155551	86631055249811934625213	173.583580	86631055249811934625213
42	2095.524241	338124220160788736788722	917.784181	338124220160788736788722	563.961121	338124220160788736788722	363.674833	338124220160788736788722
