Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-06-18T03:24:40.767Z","","","Included","composer-2.5-fast","No","0","4759","306528","3234","314521","Included"
"2026-06-18T02:50:43.752Z","","","Included","composer-2.5-fast","No","0","8082","586624","2382","597088","Included"
"2026-06-18T02:48:10.672Z","","","Included","gpt-5.5-medium","No","0","16731","67584","170","84485","Included"
"2026-06-18T02:41:13.378Z","","","Included","gpt-5.5-medium","No","0","80798","1425408","11701","1517907","Included"
"2026-06-18T02:34:31.583Z","","","Included","gpt-5.5-medium","No","0","52427","69632","4179","126238","Included"
"2026-06-18T02:30:32.225Z","","","Included","gpt-5.5-medium","No","0","46147","689664","5027","740838","Included"
"2026-06-18T02:19:50.459Z","","","Included","composer-2.5-fast","No","0","52609","3382112","22094","3456815","Included"
"2026-06-18T02:19:07.617Z","","","Included","composer-2.5-fast","No","0","765","227104","730","228599","Included"
"2026-06-18T02:14:33.315Z","","","Included","composer-2.5-fast","No","0","24125","1729600","24941","1778666","Included"
"2026-06-18T02:08:14.432Z","","","Included","composer-2.5-fast","No","0","21628","54624","2789","79041","Included"
"2026-06-18T02:00:57.234Z","","","Included","composer-2.5-fast","No","0","2234","218592","3330","224156","Included"
"2026-06-18T01:44:32.531Z","","","Included","composer-2.5-fast","No","0","2357","66144","3850","72351","Included"
"2026-06-18T01:37:42.449Z","","","Included","composer-2.5-fast","No","0","1438","127008","4718","133164","Included"
"2026-06-18T01:28:01.885Z","","","Included","composer-2.5-fast","No","0","51768","186528","6068","244364","Included"
"2026-06-18T01:21:15.994Z","","","Included","composer-2.5-fast","No","0","3675","205952","2551","212178","Included"
"2026-06-18T01:17:52.612Z","","","Included","composer-2.5-fast","No","0","12555","252832","13544","278931","Included"
"2026-06-18T00:56:59.501Z","","","Included","composer-2.5-fast","No","0","16929","72928","9665","99522","Included"
"2026-06-18T00:41:13.071Z","","","Included","composer-2.5-fast","No","0","35334","6400","1047","42781","Included"
"2026-06-17T22:27:43.666Z","","","Included","composer-2.5-fast","No","0","68","34592","6832","41492","Included"
"2026-06-17T22:25:29.263Z","","","Included","composer-2.5-fast","No","0","27720","6912","4261","38893","Included"
"2026-06-17T22:01:29.638Z","","","Included","composer-2.5-fast","No","0","24690","50240","5318","80248","Included"
"2026-06-17T21:21:25.596Z","","","Included","composer-2.5-fast","No","0","3079","599328","1691","604098","Included"
"2026-06-17T21:19:18.287Z","","","Included","composer-2.5-fast","No","0","3241","284224","3104","290569","Included"
"2026-06-17T21:10:43.186Z","","","Included","composer-2.5-fast","No","0","6886","432320","8794","448000","Included"
"2026-06-17T20:48:33.179Z","","","Included","composer-2.5-fast","No","0","4609","211680","3932","220221","Included"
"2026-06-17T20:41:33.079Z","","","Included","composer-2.5-fast","No","0","2667","192288","3018","197973","Included"
"2026-06-17T20:35:17.591Z","","","Included","composer-2.5-fast","No","0","8688","81376","3034","93098","Included"
"2026-06-17T20:31:17.053Z","","","Included","composer-2.5-fast","No","0","2962","77248","4856","85066","Included"
"2026-06-17T20:29:19.123Z","","","Included","composer-2.5-fast","No","0","17518","121184","3106","141808","Included"
"2026-06-17T19:59:07.739Z","","","Included","composer-2.5-fast","No","0","1671","26496","1904","30071","Included"
"2026-06-17T19:54:57.550Z","","","Included","composer-2.5-fast","No","0","2554","23584","1883","28021","Included"
"2026-06-17T19:54:36.060Z","","","Included","composer-2.5-fast","No","0","19289","6848","1487","27624","Included"
"2026-06-17T19:46:11.031Z","","","Included","composer-2.5-fast","No","0","2730","20864","2413","26007","Included"
"2026-06-17T18:39:01.541Z","","","Included","composer-2.5-fast","No","0","21218","13824","3743","38785","Included"
"2026-06-17T18:20:37.949Z","","","Included","composer-2.5-fast","No","0","646","26336","462","27444","Included"
"2026-06-17T18:17:14.619Z","","","Included","composer-2.5-fast","No","0","1524","76096","1101","78721","Included"
"2026-06-17T18:14:37.883Z","","","Included","composer-2.5-fast","No","0","4904","129504","3526","137934","Included"
"2026-06-17T18:05:30.493Z","","","Included","composer-2.5-fast","No","0","9897","38240","3305","51442","Included"
"2026-06-17T17:57:31.842Z","","","Included","composer-2.5-fast","No","0","12525","54124","2090","68739","Included"
"2026-06-17T16:48:05.375Z","","","Included","composer-2.5-fast","No","0","5809","5480","620","11909","Included"
"2026-06-17T16:46:30.842Z","","","Included","gpt-5.5-medium","No","0","22511","586240","2041","610792","Included"
"2026-06-17T16:41:17.893Z","","","Included","gpt-5.5-medium","No","0","21499","1395712","6462","1423673","Included"
"2026-06-17T16:36:21.536Z","","","Included","gpt-5.5-medium","No","0","120347","1120768","6391","1247506","Included"
"2026-06-17T16:33:45.881Z","","","Included","gpt-5.5-medium","No","0","91649","321536","1141","414326","Included"
"2026-06-17T01:13:59.089Z","","","Included","gpt-5.5-medium","No","0","10800","757760","2278","770838","Included"
"2026-06-17T01:12:30.998Z","","","Included","gpt-5.5-medium","No","0","597","104448","329","105374","Included"
"2026-06-17T01:09:30.196Z","","","Included","gpt-5.5-medium","No","0","659","103936","211","104806","Included"
"2026-06-17T01:06:53.179Z","","","Included","gpt-5.5-medium","No","0","6742","97280","488","104510","Included"
"2026-06-17T01:01:41.310Z","","","Included","gpt-5.5-medium","No","0","103686","97280","517","201483","Included"
"2026-06-17T00:58:58.396Z","","","Included","composer-2.5-fast","No","0","20798","118848","3032","142678","Included"
"2026-06-17T00:57:12.681Z","","","Included","composer-2.5-fast","No","0","5143","579552","2948","587643","Included"
"2026-06-17T00:53:35.666Z","","","Included","composer-2.5-fast","No","0","989","139808","1875","142672","Included"
"2026-06-17T00:50:52.187Z","","","Included","composer-2.5-fast","No","0","1440","137952","1198","140590","Included"
"2026-06-17T00:48:29.132Z","","","Included","composer-2.5-fast","No","0","1719","135200","2282","139201","Included"
"2026-06-17T00:44:49.914Z","","","Included","composer-2.5-fast","No","0","700","133536","2466","136702","Included"
"2026-06-17T00:42:37.299Z","","","Included","composer-2.5-fast","No","0","125123","899296","5124","1029543","Included"
"2026-06-17T00:28:04.188Z","","","Included","gpt-5.5-medium","No","0","103355","304128","937","408420","Included"
"2026-06-17T00:19:59.337Z","","","Included","composer-2.5-fast","No","0","16376","65984","971","83331","Included"
"2026-06-17T00:18:55.796Z","","","Included","composer-2.5-fast","No","0","12690","52576","1387","66653","Included"
"2026-06-17T00:06:10.746Z","","","Included","composer-2.5-fast","No","0","32930","130592","4764","168286","Included"
"2026-06-16T23:54:03.095Z","","","Included","composer-2.5-fast","No","0","7781","92608","2672","103061","Included"
"2026-06-16T23:51:08.068Z","","","Included","composer-2.5-fast","No","0","16742","87744","2693","107179","Included"
"2026-06-16T23:48:04.984Z","","","Included","composer-2.5-fast","No","0","122008","624672","6145","752825","Included"
"2026-06-16T23:44:49.587Z","","","Included","gpt-5.5-medium","No","0","13482","486912","994","501388","Included"
"2026-06-16T23:41:05.963Z","","","Included","gpt-5.5-medium","No","0","18541","846336","3314","868191","Included"
"2026-06-16T23:31:21.437Z","","","Included","gpt-5.5-medium","No","0","77473","620032","4297","701802","Included"
"2026-06-16T23:18:22.543Z","","","Included","gpt-5.5-medium","No","0","95296","1675264","11299","1781859","Included"
"2026-06-16T23:15:47.414Z","","","Included","gpt-5.5-medium","No","0","44267","176128","1617","222012","Included"
"2026-06-16T23:06:27.066Z","","","Included","composer-2.5-fast","No","0","52678","169472","2544","224694","Included"
"2026-06-16T23:01:05.947Z","","","Included","composer-2.5-fast","No","0","24999","3409664","13260","3447923","Included"
"2026-06-16T22:50:14.650Z","","","Included","composer-2.5-fast","No","0","21619","1477792","10317","1509728","Included"
"2026-06-16T22:46:45.289Z","","","Included","composer-2.5-fast","No","0","11313","216448","2909","230670","Included"
"2026-06-16T22:34:33.347Z","","","Included","composer-2.5-fast","No","0","13908","169696","1948","185552","Included"
"2026-06-16T22:21:04.086Z","","","Included","composer-2.5-fast","No","0","75276","130944","5020","211240","Included"
"2026-06-16T22:04:58.165Z","","","Included","composer-2.5-fast","No","0","89769","49792","4922","144483","Included"
"2026-06-16T21:59:37.212Z","","","Included","composer-2.5-fast","No","0","115710","226496","8574","350780","Included"
"2026-06-16T21:52:46.915Z","","","Included","composer-2.5-fast","No","0","100287","5312","927","106526","Included"
"2026-06-16T21:49:08.831Z","","","Included","composer-2.5-fast","No","0","9951","26720","917","37588","Included"
"2026-06-16T21:47:58.950Z","","","Included","composer-2.5-fast","No","0","28724","53312","1244","83280","Included"
"2026-06-16T21:20:19.417Z","","","Included","composer-2.5-fast","No","0","224","104864","467","105555","Included"
"2026-06-16T21:19:14.365Z","","","Included","composer-2.5-fast","No","0","682","104160","219","105061","Included"
"2026-06-16T21:17:51.681Z","","","Included","composer-2.5-fast","No","0","3578","100288","939","104805","Included"
"2026-06-16T21:08:27.807Z","","","Included","composer-2.5-fast","No","0","1620","96416","3130","101166","Included"
"2026-06-16T21:04:55.030Z","","","Included","composer-2.5-fast","No","0","1687","93056","2643","97386","Included"
"2026-06-16T20:58:20.650Z","","","Included","composer-2.5-fast","No","0","84668","7424","1986","94078","Included"
"2026-06-16T19:14:20.412Z","","","Included","composer-2.5-fast","No","0","899","88448","1728","91075","Included"
"2026-06-16T19:04:53.085Z","","","Included","composer-2.5-fast","No","0","80871","7424","1006","89301","Included"
"2026-06-16T18:18:10.283Z","","","Included","composer-2.5-fast","No","0","881","86176","1202","88259","Included"
"2026-06-16T18:07:52.161Z","","","Included","composer-2.5-fast","No","0","84","85184","1732","87000","Included"
"2026-06-16T17:54:54.851Z","","","Included","composer-2.5-fast","No","0","2490","81856","840","85186","Included"
"2026-06-16T17:50:55.623Z","","","Included","composer-2.5-fast","No","0","586","82752","759","84097","Included"
"2026-06-16T17:46:22.875Z","","","Included","composer-2.5-fast","No","0","1595","80704","974","83273","Included"
"2026-06-16T17:40:50.728Z","","","Included","composer-2.5-fast","No","0","73985","7424","856","82265","Included"
"2026-06-16T17:36:02.349Z","","","Included","composer-2.5-fast","No","0","16490","26112","4400","47002","Included"
"2026-06-16T17:21:51.739Z","","","Included","composer-2.5-fast","No","0","1352","78752","1279","81383","Included"
"2026-06-16T17:15:51.156Z","","","Included","composer-2.5-fast","No","0","619","234080","1965","236664","Included"
"2026-06-16T17:03:27.113Z","","","Included","composer-2.5-fast","No","0","10945","208000","6756","225701","Included"
"2026-06-16T17:02:10.928Z","","","Included","composer-2.5-fast","No","0","11068","173664","6103","190835","Included"
"2026-06-16T16:57:14.335Z","","","Included","composer-2.5-fast","No","0","47230","5312","2150","54692","Included"
"2026-06-16T16:51:21.698Z","","","Included","composer-2.5-fast","No","0","42385","198624","3165","244174","Included"
"2026-06-16T16:44:08.306Z","","","Included","composer-2.5-fast","No","0","113802","255264","10454","379520","Included"
"2026-06-16T05:14:53.943Z","","","Included","composer-2.5-fast","No","0","3486","227808","2345","233639","Included"
"2026-06-16T05:13:51.421Z","","","Included","composer-2.5-fast","No","0","4267","547776","3608","555651","Included"
"2026-06-16T05:06:09.152Z","","","Included","composer-2.5-fast","No","0","4374","516224","3246","523844","Included"
"2026-06-16T04:52:06.850Z","","","Included","composer-2.5-fast","No","0","8476","276896","3506","288878","Included"
"2026-06-16T04:45:06.733Z","","","Included","composer-2.5-fast","No","0","10289","414176","4152","428617","Included"
"2026-06-16T04:24:48.753Z","","","Included","composer-2.5-fast","No","0","3842","150624","1557","156023","Included"
"2026-06-16T04:18:00.964Z","","","Included","composer-2.5-fast","No","0","66811","148512","2683","218006","Included"
"2026-06-16T02:50:37.663Z","","","Included","composer-2.5-fast","No","0","59148","68672","2603","130423","Included"
"2026-06-12T04:29:09.081Z","","","Included","composer-2.5-fast","No","0","3414","175936","3253","182603","Included"
"2026-06-12T04:28:56.996Z","","","Included","composer-2.5-fast","No","0","51904","65600","2470","119974","Included"
"2026-06-12T04:23:53.881Z","","","Included","gpt-5.5-medium","No","0","121593","208384","2430","332407","Included"
"2026-06-12T03:52:26.416Z","","","Included","composer-2.5-fast","No","0","47496","236160","4633","288289","Included"
"2026-06-12T03:44:27.422Z","","","Included","composer-2.5-fast","No","0","34959","186156","11509","232624","Included"
"2026-06-12T02:40:55.330Z","","","Included","composer-2.5-fast","No","0","29003","94656","1993","125652","Included"
"2026-06-12T02:36:02.177Z","","","Included","composer-2.5-fast","No","0","25482","120064","1676","147222","Included"
"2026-06-12T01:53:17.810Z","","","Included","composer-2.5-fast","No","0","40180","158016","1569","199765","Included"
"2026-06-12T01:53:07.259Z","","","Included","composer-2.5-fast","No","0","10172","6752","124","17048","Included"
"2026-06-12T01:47:10.916Z","","","Included","composer-2.5-fast","No","0","10723","516736","6371","533830","Included"
"2026-06-12T01:43:02.555Z","","","Included","composer-2.5-fast","No","0","10146","280224","3699","294069","Included"
"2026-06-12T01:35:40.363Z","","","Included","composer-2.5-fast","No","0","87192","182656","3511","273359","Included"
"2026-06-11T22:20:51.787Z","","","Included","composer-2.5-fast","No","0","1064","46496","1051","48611","Included"
"2026-06-11T22:10:04.360Z","","","Included","composer-2.5-fast","No","0","7405","121184","1550","130139","Included"
"2026-06-11T21:56:52.791Z","","","Included","composer-2.5-fast","No","0","29797","242976","4456","277229","Included"
"2026-06-11T21:18:32.210Z","","","Included","composer-2.5-fast","No","0","92707","13600","222","106529","Included"
"2026-06-11T19:41:30.791Z","","","Included","composer-2.5-fast","No","0","2140","200000","2302","204442","Included"
"2026-06-11T19:40:28.409Z","","","Included","composer-2.5-fast","No","0","43454","324224","13503","381181","Included"
"2026-06-10T05:22:34.868Z","","","Included","claude-fable-5-thinking-medium","No","69613","12","238876","9805","318306","Included"
"2026-06-09T00:41:02.653Z","","","Included","composer-2.5-fast","No","0","16881","20052","1878","38811","Included"
"2026-06-09T00:39:45.198Z","","","Included","composer-2.5-fast","No","0","6760","5464","632","12856","Included"
"2026-06-09T00:37:40.904Z","","","Included","composer-2.5-fast","No","0","9926","80334","2143","92403","Included"
"2026-06-08T17:22:27.252Z","","","Included","composer-2.5-fast","No","0","5652","246179","2388","254219","Included"
"2026-06-08T17:13:32.928Z","","","Included","composer-2.5-fast","No","0","5836","224159","1251","231246","Included"
"2026-06-08T17:03:39.098Z","","","Included","composer-2.5-fast","No","0","47389","242552","4460","294401","Included"
"2026-06-08T16:44:37.750Z","","","Included","composer-2.5-fast","No","0","31241","288082","4195","323518","Included"
"2026-06-08T15:18:01.022Z","","","Included","composer-2.5-fast","No","0","32963","129653","1490","164106","Included"
"2026-06-08T14:59:06.163Z","","","Included","composer-2.5-fast","No","0","5124","140178","2070","147372","Included"
"2026-06-08T14:58:16.197Z","","","Included","composer-2.5-fast","No","0","21558","98062","2086","121706","Included"
"2026-06-08T14:51:08.294Z","","","Included","composer-2.5-fast","No","0","29097","152625","1723","183445","Included"
"2026-06-08T14:45:38.996Z","","","Included","composer-2.5-fast","No","0","26365","124003","3742","154110","Included"
