Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-06-20T08:29:28.502Z","","","Included","composer-2.5-fast","No","0","91261","448","4231","95940","Included"
"2026-06-20T08:18:23.688Z","","","Included","composer-2.5-fast","No","0","89993","90912","1199","182104","Included"
"2026-06-20T08:05:00.455Z","","","Included","composer-2.5-fast","No","0","3777","346432","2336","352545","Included"
"2026-06-20T08:01:59.896Z","","","Included","composer-2.5-fast","No","0","82987","163584","1629","248200","Included"
"2026-06-20T07:48:21.291Z","","","Included","composer-2.5-fast","No","0","75770","76032","1939","153741","Included"
"2026-06-20T07:19:35.949Z","","","Included","composer-2.5-fast","No","0","70795","448","2873","74116","Included"
"2026-06-20T07:03:37.062Z","","","Included","composer-2.5-fast","No","0","69585","448","1075","71108","Included"
"2026-06-20T06:57:46.843Z","","","Included","composer-2.5-fast","No","0","21843","13824","1019","36686","Included"
"2026-06-20T06:51:48.239Z","","","Included","composer-2.5-fast","No","0","67742","448","1784","69974","Included"
"2026-06-20T06:42:32.675Z","","","Included","gpt-5.5-low-fast","No","0","58835","0","474","59309","Included"
"2026-06-20T06:30:53.233Z","","","Included","composer-2.5-fast","No","0","1427","64800","1187","67414","Included"
"2026-06-20T06:22:33.610Z","","","Included","composer-2.5-fast","No","0","5532","237888","3828","247248","Included"
"2026-06-20T06:15:25.942Z","","","Included","composer-2.5-fast","No","0","4396","216736","1609","222741","Included"
"2026-06-20T06:10:10.531Z","","","Included","composer-2.5-fast","No","0","42153","411648","10586","464387","Included"
"2026-06-20T05:55:14.230Z","","","Included","composer-2.5-fast","No","0","122935","372928","495","496358","Included"
"2026-06-20T05:48:49.822Z","","","Included","composer-2.5-fast","No","0","4089","97152","2873","104114","Included"
"2026-06-20T05:40:46.255Z","","","Included","composer-2.5-fast","No","0","3324","139712","2077","145113","Included"
"2026-06-20T05:31:51.795Z","","","Included","composer-2.5-fast","No","0","23680","168160","3635","195475","Included"
"2026-06-20T05:09:51.728Z","","","Included","composer-2.5-fast","No","0","13514","117920","1639","133073","Included"
"2026-06-20T05:04:20.181Z","","","Included","composer-2.5-fast","No","0","535","27904","540","28979","Included"
"2026-06-20T05:03:16.726Z","","","Included","composer-2.5-fast","No","0","46321","75008","4866","126195","Included"
"2026-06-20T05:00:45.749Z","","","Included","composer-2.5-fast","No","0","22531","31200","1407","55138","Included"
